2022-04-19 15:05:44 train.py[line:151] INFO YuiConfigPro(RANDOM_SEED=233, DATASET_DIR='D:/A日常/大学/毕业设计/dataset/maestro-v3.0.0/', DATAMETA_NAME='maestro-v3.0.0_tinymp3.csv', WORKSPACE='D:/A日常/大学/毕业设计/code/yui/', MAX_INPUTS_LENGTH=512, MAX_TARGETS_LENGTH=1024, PROGRAM_GRANULARITY='flat', SAMPLE_RATE=16000, FRAME_SIZE=128, HOP_WIDTH=128, NUM_MEL_BINS=256, FFT_SIZE=2048, MEL_LO_HZ=20.0, MEL_HI_HZ=8000.0, PAD_ID=0, ENCODED_EOS_ID=1, ENCODED_UNK_ID=2, EXTRA_IDS=100, DECODED_EOS_ID=-1, DECODED_INVALID_ID=-2, STEPS_PER_SECOND=100, MAX_SHIFT_SECONDS=10, NUM_VELOCITY_BINS=127, CUDA=True, BATCH_SIZE=4, NUM_WORKERS=3, NUM_EPOCHS=160, TRAIN_ITERATION=600, LEARNING_RATE=0.001, OVERFIT_PATIENCE=8)
2022-04-19 15:05:44 train.py[line:153] INFO Using GPU.
2022-04-19 15:05:44 train.py[line:154] INFO GPU number: 1
2022-04-19 15:05:44 train.py[line:177] INFO The model has 4,641,792 trainable parameters
2022-04-19 15:05:45 train.py[line:225] INFO resume training with epoch=60, lr=0.002
2022-04-19 15:05:45 train.py[line:255] INFO -------train loop starts, start_time=1650351945.724s-------
2022-04-19 15:06:02 train.py[line:78] INFO train: epoch=60, iteration=20, loss=2.1497278213500977, lr=[0.002], in 17.223s
2022-04-19 15:06:07 train.py[line:78] INFO train: epoch=60, iteration=40, loss=4.215470314025879, lr=[0.002], in 4.451s
2022-04-19 15:06:11 train.py[line:78] INFO train: epoch=60, iteration=60, loss=3.7464048862457275, lr=[0.002], in 4.450s
2022-04-19 15:06:16 train.py[line:78] INFO train: epoch=60, iteration=80, loss=2.4760189056396484, lr=[0.002], in 4.451s
2022-04-19 15:06:20 train.py[line:78] INFO train: epoch=60, iteration=100, loss=4.0267462730407715, lr=[0.002], in 4.453s
2022-04-19 15:06:25 train.py[line:78] INFO train: epoch=60, iteration=120, loss=4.268942832946777, lr=[0.002], in 4.474s
2022-04-19 15:06:29 train.py[line:78] INFO train: epoch=60, iteration=140, loss=2.565150022506714, lr=[0.002], in 4.471s
2022-04-19 15:06:34 train.py[line:78] INFO train: epoch=60, iteration=160, loss=1.8465029001235962, lr=[0.002], in 4.472s
2022-04-19 15:06:38 train.py[line:78] INFO train: epoch=60, iteration=180, loss=4.13547420501709, lr=[0.002], in 4.478s
2022-04-19 15:06:43 train.py[line:78] INFO train: epoch=60, iteration=200, loss=4.175102233886719, lr=[0.002], in 4.470s
2022-04-19 15:06:47 train.py[line:78] INFO train: epoch=60, iteration=220, loss=2.7677457332611084, lr=[0.002], in 4.469s
2022-04-19 15:06:52 train.py[line:78] INFO train: epoch=60, iteration=240, loss=2.146679162979126, lr=[0.002], in 4.470s
2022-04-19 15:06:56 train.py[line:78] INFO train: epoch=60, iteration=260, loss=4.305389881134033, lr=[0.002], in 4.478s
2022-04-19 15:07:01 train.py[line:78] INFO train: epoch=60, iteration=280, loss=4.0670905113220215, lr=[0.002], in 4.481s
2022-04-19 15:07:05 train.py[line:78] INFO train: epoch=60, iteration=300, loss=2.684075117111206, lr=[0.002], in 4.476s
2022-04-19 15:07:09 train.py[line:78] INFO train: epoch=60, iteration=320, loss=3.748652696609497, lr=[0.002], in 4.477s
2022-04-19 15:07:14 train.py[line:78] INFO train: epoch=60, iteration=340, loss=4.202341079711914, lr=[0.002], in 4.483s
2022-04-19 15:07:18 train.py[line:78] INFO train: epoch=60, iteration=360, loss=2.7169504165649414, lr=[0.002], in 4.482s
