2022-04-19 16:48:16 train.py[line:151] INFO YuiConfigPro(RANDOM_SEED=233, DATASET_DIR='D:/A日常/大学/毕业设计/dataset/maestro-v3.0.0/', DATAMETA_NAME='maestro-v3.0.0_tinymp3.csv', WORKSPACE='D:/A日常/大学/毕业设计/code/yui/', MAX_INPUTS_LENGTH=512, MAX_TARGETS_LENGTH=1024, PROGRAM_GRANULARITY='flat', SAMPLE_RATE=16000, FRAME_SIZE=128, HOP_WIDTH=128, NUM_MEL_BINS=256, FFT_SIZE=2048, MEL_LO_HZ=20.0, MEL_HI_HZ=8000.0, PAD_ID=0, ENCODED_EOS_ID=1, ENCODED_UNK_ID=2, EXTRA_IDS=100, DECODED_EOS_ID=-1, DECODED_INVALID_ID=-2, STEPS_PER_SECOND=100, MAX_SHIFT_SECONDS=10, NUM_VELOCITY_BINS=127, CUDA=True, BATCH_SIZE=4, NUM_WORKERS=3, NUM_EPOCHS=160, TRAIN_ITERATION=600, LEARNING_RATE=0.001, OVERFIT_PATIENCE=8)
2022-04-19 16:48:16 train.py[line:153] INFO Using GPU.
2022-04-19 16:48:16 train.py[line:154] INFO GPU number: 1
2022-04-19 16:48:16 train.py[line:177] INFO The model has 4,640,512 trainable parameters
2022-04-19 16:48:18 train.py[line:225] INFO resume training with epoch=20, lr=0.0007589217857457697
2022-04-19 16:48:18 train.py[line:254] INFO -------train loop starts, start_time=1650358098.071s-------
2022-04-19 16:48:34 train.py[line:78] INFO train: epoch=6, iteration=20, loss=4.851537704467773, lr=[tensor(0.0008, device='cuda:0')], in 16.636s
2022-04-19 16:48:38 train.py[line:78] INFO train: epoch=6, iteration=40, loss=3.0182945728302, lr=[tensor(0.0008, device='cuda:0')], in 3.640s
2022-04-19 16:48:41 train.py[line:78] INFO train: epoch=6, iteration=60, loss=3.1867191791534424, lr=[tensor(0.0008, device='cuda:0')], in 3.644s
2022-04-19 16:48:45 train.py[line:78] INFO train: epoch=6, iteration=80, loss=3.918546199798584, lr=[tensor(0.0008, device='cuda:0')], in 3.640s
2022-04-19 16:48:49 train.py[line:78] INFO train: epoch=6, iteration=100, loss=5.037101745605469, lr=[tensor(0.0008, device='cuda:0')], in 3.665s
2022-04-19 16:48:52 train.py[line:78] INFO train: epoch=6, iteration=120, loss=4.64069128036499, lr=[tensor(0.0008, device='cuda:0')], in 3.639s
2022-04-19 16:48:56 train.py[line:78] INFO train: epoch=6, iteration=140, loss=2.4638335704803467, lr=[tensor(0.0008, device='cuda:0')], in 3.642s
2022-04-19 16:49:00 train.py[line:78] INFO train: epoch=6, iteration=160, loss=3.3115365505218506, lr=[tensor(0.0008, device='cuda:0')], in 3.684s
2022-04-19 16:49:03 train.py[line:78] INFO train: epoch=6, iteration=180, loss=3.7783381938934326, lr=[tensor(0.0008, device='cuda:0')], in 3.710s
2022-04-19 16:49:07 train.py[line:78] INFO train: epoch=6, iteration=200, loss=4.81647253036499, lr=[tensor(0.0008, device='cuda:0')], in 3.669s
2022-04-19 16:49:11 train.py[line:78] INFO train: epoch=6, iteration=220, loss=2.8801629543304443, lr=[tensor(0.0008, device='cuda:0')], in 3.665s
