2022-04-19 15:55:20 train.py[line:151] INFO YuiConfigPro(RANDOM_SEED=233, DATASET_DIR='D:/A日常/大学/毕业设计/dataset/maestro-v3.0.0/', DATAMETA_NAME='maestro-v3.0.0_tinymp3.csv', WORKSPACE='D:/A日常/大学/毕业设计/code/yui/', MAX_INPUTS_LENGTH=512, MAX_TARGETS_LENGTH=1024, PROGRAM_GRANULARITY='flat', SAMPLE_RATE=16000, FRAME_SIZE=128, HOP_WIDTH=128, NUM_MEL_BINS=256, FFT_SIZE=2048, MEL_LO_HZ=20.0, MEL_HI_HZ=8000.0, PAD_ID=0, ENCODED_EOS_ID=1, ENCODED_UNK_ID=2, EXTRA_IDS=100, DECODED_EOS_ID=-1, DECODED_INVALID_ID=-2, STEPS_PER_SECOND=100, MAX_SHIFT_SECONDS=10, NUM_VELOCITY_BINS=127, CUDA=True, BATCH_SIZE=4, NUM_WORKERS=3, NUM_EPOCHS=160, TRAIN_ITERATION=600, LEARNING_RATE=0.001, OVERFIT_PATIENCE=8)
2022-04-19 15:55:20 train.py[line:153] INFO Using GPU.
2022-04-19 15:55:20 train.py[line:154] INFO GPU number: 1
2022-04-19 15:55:20 train.py[line:177] INFO The model has 4,640,512 trainable parameters
2022-04-19 15:55:20 train.py[line:254] INFO -------train loop starts, start_time=1650354920.491s-------
2022-04-19 15:55:39 train.py[line:78] INFO train: epoch=0, iteration=20, loss=8.514854431152344, lr=[tensor(2.0006e-06, device='cuda:0')], in 18.870s
2022-04-19 15:55:43 train.py[line:78] INFO train: epoch=0, iteration=40, loss=8.574325561523438, lr=[tensor(3.0010e-06, device='cuda:0')], in 4.176s
2022-04-19 15:55:47 train.py[line:78] INFO train: epoch=0, iteration=60, loss=8.55223274230957, lr=[tensor(4.0013e-06, device='cuda:0')], in 3.638s
2022-04-19 15:55:50 train.py[line:78] INFO train: epoch=0, iteration=80, loss=8.541950225830078, lr=[tensor(5.0016e-06, device='cuda:0')], in 3.656s
2022-04-19 15:55:54 train.py[line:78] INFO train: epoch=0, iteration=100, loss=8.579294204711914, lr=[tensor(7.0023e-06, device='cuda:0')], in 3.684s
2022-04-19 15:55:58 train.py[line:78] INFO train: epoch=0, iteration=120, loss=8.586631774902344, lr=[tensor(8.0026e-06, device='cuda:0')], in 3.660s
2022-04-19 15:56:01 train.py[line:78] INFO train: epoch=0, iteration=140, loss=8.569402694702148, lr=[tensor(9.0029e-06, device='cuda:0')], in 3.657s
2022-04-19 15:56:06 train.py[line:78] INFO train: epoch=0, iteration=160, loss=8.543259620666504, lr=[tensor(1.0003e-05, device='cuda:0')], in 4.201s
2022-04-19 15:56:09 train.py[line:78] INFO train: epoch=0, iteration=180, loss=8.548565864562988, lr=[tensor(1.2004e-05, device='cuda:0')], in 3.684s
2022-04-19 15:56:13 train.py[line:78] INFO train: epoch=0, iteration=200, loss=8.526195526123047, lr=[tensor(1.3004e-05, device='cuda:0')], in 3.657s
2022-04-19 15:56:17 train.py[line:78] INFO train: epoch=0, iteration=220, loss=8.576337814331055, lr=[tensor(1.4005e-05, device='cuda:0')], in 3.658s
